37,541
184,541
397,541
521,541
2220,541
2722,541
2898,541
3209,541
3367,541
413,1082
635,1082
907,1082
1034,1082
1312,1082
1577,1082
1645,1082
158,1623
525,1623
669,1623
1595,1623
1677,1623
1918,1623
2753,1623
2945,1623
2986,1623
3069,1623
369,2164
853,2164
1071,2164
1520,2164
2069,2164
2464,2164
2589,2164
2794,2164
3036,2164
3159,2164
662,541
711,541
768,541
846,541
897,541
928,541
1038,541
1066,541
1182,541
1231,541
1332,541
1356,541
1438,541
1667,541
1794,541
1973,541
2079,541
2477,541
2542,541
2623,541
3031,541
3086,541
80,1082
357,1082
467,1082
732,1082
1184,1082
1485,1082
1688,1082
1741,1082
1846,1082
1927,1082
1990,1082
2115,1082
2221,1082
2272,1082
2318,1082
2504,1082
2591,1082
2703,1082
2813,1082
2887,1082
2927,1082
3014,1082
3156,1082
3234,1082
3255,1082
89,1623
334,1623
393,1623
721,1623
846,1623
950,1623
1206,1623
1246,1623
1413,1623
2081,1623
2225,1623
2356,1623
2415,1623
2551,1623
2623,1623
2684,1623
2866,1623
3018,1623
3164,1623
3230,1623
3255,1623
3310,1623
3371,1623
49,2164
201,2164
224,2164
541,2164
592,2164
802,2164
886,2164
977,2164
1170,2164
1229,2164
1277,2164
1466,2164
1580,2164
1673,2164
1719,2164
1789,2164
1870,2164
1904,2164
1978,2164
2157,2164
2255,2164
2318,2164
3291,2164
3318,2164
