181,541
249,541
319,541
522,541
1738,541
2581,541
2640,541
3245,541
260,1082
419,1082
687,1082
855,1082
1273,1082
1317,1082
1478,1082
1773,1082
1892,1082
2402,1082
3229,1082
14,1623
441,1623
976,1623
1091,1623
1277,1623
1444,1623
1574,1623
1736,1623
1886,1623
2085,1623
2226,1623
3071,1623
54,2164
174,2164
273,2164
374,2164
493,2164
979,2164
1262,2164
1326,2164
1441,2164
1753,2164
1948,2164
2008,2164
2086,2164
2173,2164
2259,2164
3378,2164
15,541
91,541
679,541
778,541
819,541
971,541
996,541
1093,541
1153,541
1301,541
1436,541
1620,541
1688,541
1876,541
2033,541
2305,541
2428,541
2460,541
2813,541
2853,541
3046,541
3143,541
3316,541
76,1082
118,1082
783,1082
895,1082
1032,1082
1108,1082
1203,1082
1624,1082
2248,1082
2434,1082
2578,1082
2741,1082
2764,1082
2955,1082
3069,1082
3137,1082
3333,1082
190,1623
639,1623
776,1623
852,1623
1237,1623
1971,1623
2041,1623
2303,1623
2443,1623
2642,1623
2783,1623
2843,1623
2940,1623
3172,1623
3255,1623
3325,1623
592,2164
749,2164
821,2164
1017,2164
1163,2164
1514,2164
1690,2164
1838,2164
2477,2164
2610,2164
2796,2164
2853,2164
3187,2164
3310,2164
