114,541
252,541
307,541
402,541
487,541
670,541
1052,541
1346,541
1442,541
1556,541
1697,541
1776,541
1873,541
1976,541
2059,541
2119,541
2242,541
2345,541
2461,541
2526,541
2832,541
2943,541
3105,541
3252,541
3342,541
24,1082
109,1082
213,1082
396,1082
583,1082
732,1082
976,1082
1592,1082
1689,1082
2349,1082
2452,1082
2520,1082
2639,1082
2792,1082
2964,1082
3072,1082
43,1623
236,1623
364,1623
702,1623
791,1623
872,1623
1011,1623
1110,1623
1407,1623
1493,1623
1676,1623
2197,1623
2597,1623
3346,1623
33,2164
192,2164
262,2164
540,2164
658,2164
944,2164
1049,2164
1326,2164
1509,2164
1692,2164
1767,2164
1991,2164
2769,2164
2991,2164
3145,2164
3267,2164
44,541
178,541
577,541
717,541
768,541
901,541
939,541
1220,541
1280,541
1612,541
2278,541
2582,541
2752,541
2783,541
3211,541
825,1082
880,1082
1034,1082
1123,1082
1203,1082
1277,1082
1417,1082
1783,1082
1865,1082
2132,1082
2197,1082
2699,1082
3181,1082
3204,1082
3278,1082
3342,1082
21,1623
150,1623
311,1623
505,1623
607,1623
573,1623
730,1623
1242,1623
1373,1623
1929,1623
2043,1623
2075,1623
2288,1623
2358,1623
2447,1623
2671,1623
2832,1623
3039,1623
3122,1623
3225,1623
3251,1623
444,2184
472,2184
812,2184
880,2184
1184,2184
1265,2184
1863,2184
2265,2184
2316,2184
2375,2184
2420,2184
2629,2184
3187,2184
